"age","monthsSinceM","pregnancies","children","sons","literacy","ageMarried_15_18","ageMarried_18_20","ageMarried_20_22","ageMarried_22_25","ageMarried_25_30","ageMarried_30_plus","region_10_20k","region_20k_plus","region_lisbon","region_lt10k","region_porto"
43,242,3,3,2,1,0,0,0,1,0,0,0,0,0,1,0
32,124,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
22,59,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
28,63,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
30,169,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0
37,226,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
41,266,14,15,8,0,0,1,0,0,0,0,0,0,0,1,0
44,315,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
46,239,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
21,30,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
42,251,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
49,351,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0
23,31,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
28,73,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
24,74,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
40,197,2,2,2,0,0,0,0,1,0,0,0,0,0,1,0
32,146,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0
17,16,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
26,81,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
40,233,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
34,123,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
41,209,3,3,1,1,0,0,0,1,0,0,0,0,0,1,0
46,311,3,3,2,1,0,0,1,0,0,0,0,0,0,1,0
18,16,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
43,285,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0
45,270,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
48,347,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
39,241,3,3,2,1,0,1,0,0,0,0,0,0,0,1,0
35,159,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
27,18,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
38,99,2,2,1,1,0,0,0,0,0,1,0,0,0,1,0
36,209,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
45,273,3,3,2,1,0,0,0,1,0,0,0,0,0,1,0
24,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
30,132,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0
43,292,3,3,1,1,1,0,0,0,0,0,0,0,0,1,0
30,64,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
47,329,3,3,3,1,0,1,0,0,0,0,0,0,0,1,0
41,195,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0
30,74,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
32,126,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
39,240,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
43,162,3,3,2,1,0,0,0,1,0,0,0,0,0,1,0
46,303,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
24,22,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
39,184,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0
